ID,year,place,sowing,varietyID,variety,block,plot,ind,DryWeight_Leaves_g,DryWeight_Shoot_g,FreshWeight_Shoot_g,FreshWeight_Leaves_g,GrowthStage,NumberOfNodes,NumberOfTillers,PlantHeight_cm,TillerLength_cm
168,2019,Tottori,Jul,2147,E71-147,RC,42,4,NA,NA,NA,NA,NA,NA,NA,51,NA
169,2019,Tottori,Jul,2071,E71-071,RC,43,1,NA,NA,NA,NA,NA,NA,NA,43,NA
170,2019,Tottori,Jul,2071,E71-071,RC,43,2,10.8,18.17,55.41,28.45,3.5,9,16,44,23
171,2019,Tottori,Jul,2071,E71-071,RC,43,3,NA,50.72,163.45,NA,4,9,15,46,28
172,2019,Tottori,Jul,2071,E71-071,RC,43,4,NA,NA,NA,NA,NA,NA,NA,44,NA
173,2019,Tottori,Jul,2051,E71-051,RC,44,1,NA,NA,NA,NA,NA,NA,NA,40,NA
174,2019,Tottori,Jul,2051,E71-051,RC,44,2,NA,30.1,97.41,39.08,5.5,8,12,42,23
175,2019,Tottori,Jul,2051,E71-051,RC,44,3,NA,50.7,180.6,NA,5.5,7,13,35,19
176,2019,Tottori,Jul,2051,E71-051,RC,44,4,NA,NA,NA,NA,NA,NA,NA,33,NA
177,2019,Tottori,Jul,2101,E71-101,RC,45,1,NA,NA,NA,NA,NA,NA,NA,70,NA
178,2019,Tottori,Jul,2101,E71-101,RC,45,2,36.7,85.95,277.25,102.98,5,7,16,69,44
179,2019,Tottori,Jul,2101,E71-101,RC,45,3,NA,76.05,260.38,NA,5,7,14,66,38
180,2019,Tottori,Jul,2101,E71-101,RC,45,4,NA,NA,NA,NA,NA,NA,NA,59,NA
181,2019,Tottori,Jul,2125,E71-125,RC,46,1,NA,NA,NA,NA,NA,NA,NA,67,NA
182,2019,Tottori,Jul,2125,E71-125,RC,46,2,41.81,88.6,272.74,112.82,4,10,14,64,28
183,2019,Tottori,Jul,2125,E71-125,RC,46,3,NA,92.01,295.28,NA,4.5,7,16,66,41
184,2019,Tottori,Jul,2125,E71-125,RC,46,4,NA,NA,NA,NA,NA,NA,NA,64,NA
185,2019,Tottori,Jul,2177,E71-177,RC,47,1,NA,NA,NA,NA,NA,NA,NA,44,NA
186,2019,Tottori,Jul,2177,E71-177,RC,47,2,29.1,58.18,174.25,75.32,6,8,7,40,10
187,2019,Tottori,Jul,2177,E71-177,RC,47,3,NA,38.35,122.67,NA,5,5,7,41,20
188,2019,Tottori,Jul,2177,E71-177,RC,47,4,NA,NA,NA,NA,NA,NA,NA,34,NA
189,2019,Tottori,Jul,2162,E71-162,RC,48,1,NA,NA,NA,NA,NA,NA,NA,47,NA
190,2019,Tottori,Jul,2162,E71-162,RC,48,2,27.32,55.24,164.37,66.64,5.5,6,16,56,26
191,2019,Tottori,Jul,2162,E71-162,RC,48,3,NA,91.03,290.37,NA,5,8,20,59,30
192,2019,Tottori,Jul,2162,E71-162,RC,48,4,NA,NA,NA,NA,NA,NA,NA,62,NA
193,2019,Tottori,Jul,2054,E71-054,RC,49,1,NA,NA,NA,NA,NA,NA,NA,53,NA
194,2019,Tottori,Jul,2054,E71-054,RC,49,2,34.94,71.54,226.6,96.78,4,7,9,58,35
195,2019,Tottori,Jul,2054,E71-054,RC,49,3,NA,62.75,202.19,NA,4.5,9,17,61,34
196,2019,Tottori,Jul,2054,E71-054,RC,49,4,NA,NA,NA,NA,NA,NA,NA,61,NA
197,2019,Tottori,Jul,2164,E71-164,RC,50,1,NA,NA,NA,NA,NA,NA,NA,50,NA
198,2019,Tottori,Jul,2164,E71-164,RC,50,2,29.76,58.76,182.93,78.07,5,7,20,51,14
199,2019,Tottori,Jul,2164,E71-164,RC,50,3,NA,37.94,118.31,NA,4,6,14,50,10
200,2019,Tottori,Jul,2164,E71-164,RC,50,4,NA,NA,NA,NA,NA,NA,NA,50,NA
201,2019,Tottori,Jul,2168,E71-168,RC,51,1,NA,NA,NA,NA,NA,NA,NA,54,NA
202,2019,Tottori,Jul,2168,E71-168,RC,51,2,29.97,55.79,187.97,87.23,4,8,16,59,34
203,2019,Tottori,Jul,2168,E71-168,RC,51,3,NA,53.55,187.35,NA,4,9,13,53,35
204,2019,Tottori,Jul,2168,E71-168,RC,51,4,NA,NA,NA,NA,NA,NA,NA,50,NA
205,2019,Tottori,Jul,2056,E71-056,RC,52,1,NA,NA,NA,NA,NA,NA,NA,47,NA
206,2019,Tottori,Jul,2056,E71-056,RC,52,2,25.7,49.26,160.66,72,4,8,15,43,15
207,2019,Tottori,Jul,2056,E71-056,RC,52,3,NA,37.7,121.01,NA,5,7,12,49,19
208,2019,Tottori,Jul,2056,E71-056,RC,52,4,NA,NA,NA,NA,NA,NA,NA,35,NA
209,2019,Tottori,Jul,2145,E71-145,RC,53,1,NA,NA,NA,NA,NA,NA,NA,35,NA
210,2019,Tottori,Jul,2145,E71-145,RC,53,2,26.63,56.57,170.03,68.75,5,6,16,36,16
211,2019,Tottori,Jul,2145,E71-145,RC,53,3,NA,35.58,110.67,NA,4.5,8,11,27,22
212,2019,Tottori,Jul,2145,E71-145,RC,53,4,NA,NA,NA,NA,NA,NA,NA,53,NA
213,2019,Tottori,Jul,2160,E71-160,RC,54,1,NA,NA,NA,NA,NA,NA,NA,54,NA
214,2019,Tottori,Jul,2160,E71-160,RC,54,2,20.95,40.99,128.88,55.65,5.5,7,14,56,11
215,2019,Tottori,Jul,2160,E71-160,RC,54,3,NA,83.9,266.01,NA,4.5,10,18,52,31
216,2019,Tottori,Jul,2160,E71-160,RC,54,4,NA,NA,NA,NA,NA,NA,NA,57,NA
217,2019,Tottori,Jul,2095,E71-095,RC,55,1,NA,NA,NA,NA,NA,NA,NA,51,NA
218,2019,Tottori,Jul,2095,E71-095,RC,55,2,24.67,56.04,182.66,69.55,5,6,16,57,29
219,2019,Tottori,Jul,2095,E71-095,RC,55,3,NA,47.22,153.01,NA,4,7,13,57,31
220,2019,Tottori,Jul,2095,E71-095,RC,55,4,NA,NA,NA,NA,NA,NA,NA,59,NA
221,2019,Tottori,Jul,2106,E71-106,RC,56,1,NA,NA,NA,NA,NA,NA,NA,43,NA
222,2019,Tottori,Jul,2106,E71-106,RC,56,2,12.02,25.81,84.75,33.89,4,7,13,38,20
223,2019,Tottori,Jul,2106,E71-106,RC,56,3,NA,58.72,189.07,NA,5,9,15,54,12
224,2019,Tottori,Jul,2106,E71-106,RC,56,4,NA,NA,NA,NA,NA,NA,NA,54,NA
225,2019,Tottori,Jul,2087,E71-087,RC,57,1,NA,NA,NA,NA,NA,NA,NA,65,NA
226,2019,Tottori,Jul,2087,E71-087,RC,57,2,23,45.66,140.37,59.4,4,4,11,64,33
227,2019,Tottori,Jul,2087,E71-087,RC,57,3,NA,63.58,204.19,NA,3,8,17,60,15
228,2019,Tottori,Jul,2087,E71-087,RC,57,4,NA,NA,NA,NA,NA,NA,NA,61,NA
229,2019,Tottori,Jul,2003,E71-003,RC,58,1,NA,NA,NA,NA,NA,NA,NA,54,NA
230,2019,Tottori,Jul,2003,E71-003,RC,58,2,29.88,65.73,207.84,80.19,5,6,16,59,47
231,2019,Tottori,Jul,2003,E71-003,RC,58,3,NA,22.89,70.52,NA,5,5,16,57,27
232,2019,Tottori,Jul,2003,E71-003,RC,58,4,NA,NA,NA,NA,NA,NA,NA,58,NA
233,2019,Tottori,Jul,2119,E71-119,RC,59,1,NA,NA,NA,NA,NA,NA,NA,35,NA
234,2019,Tottori,Jul,2119,E71-119,RC,59,2,24.62,54.26,166.61,65.6,6,6,13,42,17
235,2019,Tottori,Jul,2119,E71-119,RC,59,3,NA,44.59,129.42,NA,6,6,8,45,8
236,2019,Tottori,Jul,2119,E71-119,RC,59,4,NA,NA,NA,NA,NA,NA,NA,42,NA
237,2019,Tottori,Jul,2078,E71-078,RC,60,1,NA,NA,NA,NA,NA,NA,NA,36,NA
238,2019,Tottori,Jul,2078,E71-078,RC,60,2,NA,55.08,167.46,80.88,4.5,7,15,42,17
239,2019,Tottori,Jul,2078,E71-078,RC,60,3,NA,29.89,92.57,NA,5,8,15,44,21
240,2019,Tottori,Jul,2078,E71-078,RC,60,4,NA,NA,NA,NA,NA,NA,NA,51,NA
241,2019,Tottori,Jul,2150,E71-150,RC,61,1,NA,NA,NA,NA,NA,NA,NA,46,NA
