"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W4-018","GmWMC094","W4",18,0,6.14,212,6129,7397,4263,34354.5,7873.5,0.166283119513328,0.226430244863006,-0.141006455518552,0.410506829574996,-113.908291720424
"W4-019","GmWMC124","W4",19,0,7.555,240.333333333333,5709,7167,4029,34719,7765,0.176297005510499,0.236314740339302,-0.135270741694083,0.395924074910665,-109.49206267301
"W4-020","GmWMC109","W4",20,0,7.39,153,5912,7180.5,4219,33156,7493,0.160200701260942,0.198974471434957,-0.161377680360679,0.380316063764507,-122.632293788593
"W4-021","GmJMC059","W4",21,0,13.91,560,3326,4499,2542,25715.5,7480.25,0.181291444312048,0.387390805760152,-0.0523349343103623,0.486689563841192,-41.9648047955801
"W4-022","GmJMC090","W4",22,0,10.985,253.666666666667,6264,7186,4159,33285,7920.5,0.13723747125852,0.213299546822525,-0.111785618383519,0.370398270394635,-93.0489135888845
"W4-023","GmJMC112","W4",23,0,6.035,161.25,6714,7655.5,4489,34915,7785,0.148290741343107,0.194688554893395,-0.177048707667859,0.393706194597238,-143.332168648093
"W4-024","GmWMC127","W4",24,1,11.36,498.5,4422,6102.75,3457,28435.5,7677.5,0.172662694480474,0.318028533329687,-0.0661415914772566,0.410877359645578,-54.731330329949
"W4-025","GmJMC028","W4",25,0,16.205,542,4475.5,5786.25,3316.5,27228.5,7379.75,0.181472666702993,0.300377529571824,-0.0779920017621576,0.402143870103914,-57.2832138861883
"W4-026","GmJMC126","W4",26,0,10.445,504.25,4106,5406,3004,25509,7421.5,0.189583262244634,0.34223433949092,-0.0271981319545549,0.413114502944256,-26.9471030126821
"W4-027","GmWMC048","W4",27,0,16.635,709.5,3499.5,4883.5,2624,24992,7580.25,0.214434959299268,0.414847288759843,-0.0128556775078425,0.46964824469226,-19.6906152201668
"W4-028","GmJMC044","W4",28,0,16.26,586.5,5017.5,6155,3685.5,28384,7839,0.156888258990135,0.282426942070425,-0.0549025171426975,0.377544950856955,-47.1063400747083
"W4-029","GmWMC160","W4",29,1,7.46,327.5,5543,7142,4162,33833.5,7899.5,0.165883424330815,0.232262333185263,-0.127423225815036,0.395622872784284,-101.23192477882
"W4-030","GmJMC121","W4",30,1,11.415,516.5,4378,5969.5,3432,27691,7912.5,0.168592292009925,0.321591100011071,-0.0418207293421902,0.393275616379095,-36.8112669566928
"W4-031","GmWMC135","W4",31,0,22.84,1015.75,3123.5,4670.75,2505.5,24197,7459.25,0.211817932479574,0.428902922122916,-0.000194610094414998,0.457487466047111,-12.2341268460751
"W4-032","GmWMC036","W4",32,0,7.04,240.5,4423,6058.75,3243.5,30988.5,8327.25,0.21234291975662,0.373218014266171,-0.0700372863881423,0.486238615533777,-63.7580568526286
"W4-033","GmJMC016","W4",33,0,14.16,582.5,3716.5,5058,2880,25117,7683.25,0.1852983146759,0.391991190517357,-0.00638186410316342,0.432932134678866,-16.5798851579737
"W4-034","GmJMC095","W4",34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
